tax_id	scientific_name	type	is_metagenome
1892068	human skeleton metagenome	organismal metagenomes	1
1861841	feces metagenome	organismal metagenomes	1
447426	human oral metagenome	organismal metagenomes	1
942017	activated sludge metagenome	ecological metagenomes	1
2267609	thiocyanate-degrading enrichment culture		0
410658	soil metagenome	ecological metagenomes	1
408170	human gut metagenome	organismal metagenomes	1
408172	marine metagenome	ecological metagenomes	1
527639	wastewater metagenome	ecological metagenomes	1
1561972	seawater metagenome	ecological metagenomes	1
410661	mouse gut metagenome	organismal metagenomes	1
1504969	human blood metagenome	organismal metagenomes	1
256318	metagenome		0
408169	metagenomes		0
1301311	zooplankton environmental sample		0
1633571	human milk metagenome	organismal metagenomes	1
749907	sediment metagenome	ecological metagenomes	1
9606	Homo sapiens		0
32644	unidentified		0
77133	uncultured bacterium		0
652676	hydrothermal vent metagenome	ecological metagenomes	1
1729361	lung metagenome	organismal metagenomes	1
749906	gut metagenome	organismal metagenomes	1
9823	Sus scrofa		0
3659	Cucumis sativus		0
3658	Cucumis melo var. cantalupo		0
184426	environmental samples		0
1234904	insect metagenome	organismal metagenomes	1
1631307	Norovirus 06-AV-9/2006/GII.P7/GII.6		0
9031	Gallus gallus		0
1680915	alkali sediment metagenome	ecological metagenomes	1
62280	Sorex minutus		0
1118232	root metagenome	organismal metagenomes	1
1227552	oral metagenome	organismal metagenomes	1
1580551	annelid metagenome	organismal metagenomes	1
1708701	aerosol metagenome	ecological metagenomes	1
485	Neisseria gonorrhoeae		0
1561046	honey metagenome	ecological metagenomes	1
2608793	Candidatus Argoarchaeum ethanivorans		0
506599	bovine gut metagenome	organismal metagenomes	1
455434	Treponema pallidum subsp. pallidum SS14		0
1235509	synthetic metagenome		0
646099	human metagenome	organismal metagenomes	1
433733	human lung metagenome	organismal metagenomes	1
449393	freshwater metagenome	ecological metagenomes	1
1710357	biocrust metagenome	ecological metagenomes	1
646101	Contracaecum rudolphii C D'Amelio et al., 2007		0
410662	symbiont metagenome	organismal metagenomes	1
1070528	viral metagenome	organismal metagenomes	1
1647806	lake water metagenome	ecological metagenomes	1
6973	Blattella germanica		0
1549736	vaginal metagenome	organismal metagenomes	1
9691	Panthera pardus		0
9897	Aepyceros melampus		0
171269	Tringa glareola		0
722674	Hylacola cauta		0
117199	Acanthiza uropygialis		0
30422	Corvus corone		0
30532	Dama dama		0
9927	Connochaetes taurinus		0
60710	Chlorocebus pygerythrus		0
9894	Giraffa camelopardalis		0
8501	Crocodylus niloticus		0
9463	Otolemur crassicaudatus		0
184237	Crocodylus moreletii		0
10090	Mus musculus		0
9809	Rhinoceros unicornis		0
9785	Loxodonta africana		0
1246547	Proechimys semispinosus		0
9874	Odocoileus virginianus		0
9355	Bradypus variegatus		0
9358	Choloepus hoffmanni		0
302418	Smutsia temminckii		0
9595	Gorilla gorilla gorilla		0
27610	Lagenorhynchus albirostris		0
9711	Halichoerus grypus		0
9742	Phocoena phocoena		0
98928	Leuciscus aspius		0
9861	Cervus canadensis canadensis		0
196523	Chrysococcyx basalis		0
9337	Trichosurus vulpecula		0
9315	Notamacropus eugenii		0
