project_accession,n_runs_in_project,n_realconflict_rows,conflict_type,orig_countries,orig_sentinels,infer_value_projlevel,infer_note_top,infer_source_top,infer_method_top
PRJEB6070,1290,1290,fully_disjoint,France(922); Germany(368),,Japan:Kyoto,[Japan:Kyoto|literature_abstract] gene family analysis revealed that Kyoto Encyclopedia of Genes and Genomes,literature,rule_place
PRJEB8347,566,566,fully_disjoint,Germany(566),,United States,[United States|study_description] large dataset of 888 European and American fecal metagenomes. One exception w,study_meta,rule_demonym
PRJNA1000281,319,319,fully_disjoint,United Kingdom: Kings College London(115); Germany: Heinrich Heine University Dusseldorf(108); Finland: University of Helsinki(96),,Brazil,[Brazil|literature_abstract] Pessoal de Nível Superior - CAPES (Brazilian Government Agency). The authors th,literature,rule_demonym
PRJEB5224,579,318,incomplete_subset,Spain(318); Denmark(244); China(17),,China;Denmark,[China|study_description] microbiota. Analyses of a group of Chinese and Danish samples using the catal ; [Denmark|study_description] Analyses of a group of Chinese and Danish samples using the catalo,study_meta;study_meta,rule_demonym;rule_demonym
PRJEB22863,219,219,fully_disjoint,France(219),,China,Chinese NSCLC cohort (per aligned paper),llm_agent,llm_agent
PRJEB38681,267,211,incomplete_subset,Finland(113); Sweden(68); Switzerland(44); Canada(30); Puerto Rico(8); USA(4),,Switzerland;United States:America,[Switzerland|study_description] from tropical Puerto Rico and one Swiss lake from the temperate zone. For ; [United States:America|literature_abstract] ubarctic areas in Europe and North America. In o,study_meta;literature,rule_demonym;rule_place
PRJEB4413,206,206,fully_disjoint,France(206),,United Kingdom:UK,[United Kingdom:UK|literature_abstract] h. Database URL: http://www.ebi.ac.uk/ena.,literature,rule_place
PRJEB27054,235,195,incomplete_subset,USA(40); Canada(14); Australia(10); Zambia(10); Switzerland(7); Brazil(6); Spain(6); Germany(5); Croatia(5); Malaysia(5); Netherlands(5); Chad(5); Bulgaria(4); Botswana(4); Georgia(4); Kenya(4); Latvia(4); Macedonia(4); Sweden(4); Austria(4); Albania(3); Czech Republic(3); Denmark(3); Ecuador(3); Finland(3); India(3); Iran(3); Iceland(3); Israel(3); Moldova(3); Norway(3); Poland(3); Singapore(3); Cote d'Ivoire(3); Nigeria(3); Slovenia(3); Ireland(3); Malta(3); Serbia(3); Turkey(3); South Africa(3); Slovakia(2); Ghana(1); Gambia(1); Hungary(1); Sri Lanka(1); Togo(1); Tanzania(1); Italy(1); New Zealand(1); Peru(1); Viet Nam(1); China(1); Kazakhstan(1); Luxembourg(1); Pakistan(1); Kosovo(1); Ethiopia(1); Cambodia(1); Senegal(1); Colombia(1); Nepal(1),,United States:America,[United States:America|study_description] of AMR genes between Europe/North-America/Oceania and Africa/Asia/South-Amer,study_meta,rule_place
PRJEB83983,191,191,fully_disjoint,USA(37); Australia(19); India(15); Saudi Arabia(13); Argentina(13); Mexico(10); Canada(10); Switzerland(10); Netherlands(10); Hong Kong(9); Uruguay(9); Israel(5); Austria(5); Singapore(5); Italy(2); Czechia(2); Norway(2); Sweden(2); United Kingdom(2); Belgium(2); Poland(2); Spain(2); Finland(1); Cyprus(1); Portugal(1); Germany(1); Malaysia(1),,Denmark,four Danish WWTPs,llm_agent,llm_agent
PRJEB34569,218,187,incomplete_subset,Germany(40); Democratic Republic of the Congo(39); Spain(25); Cameroon(18); Morocco(15); Uganda(15); South Africa(12); Liberia(9); Nicaragua(8); Italy(6); Ethiopia(4); Belgium(3); Republic of the Congo(3); Portugal(3); Czech Republic(3); USA(2); Serbia(2); France(1),<empty>(10),Italy,"[Italy|literature_title] a di Pietra Sant'Angelo (Calabria, Italy).",literature,rule_place
PRJEB47976,175,175,fully_disjoint,Germany(175),,Japan:Kyoto,[Japan:Kyoto|literature_abstract] 5 in the validation set and 26 KO [Kyoto Encyclopedia of Genes and Genomes,literature,rule_place
PRJEB32762,3679,168,incomplete_subset,Argentina:Buenos Aires(908); USA:CA:San Francisco(821); UK:Scotland:Edinburgh(630); USA:NY:New YorK City(405); USA:MA:Boston(215); Spain:San Sebastian(168); USA:PA:Pittsburgh(99); USA:CA:San Diego(50),<empty>(383),Argentina:Buenos Aires;United Kingdom:Edinburgh;United States:New York,"[Argentina:Buenos Aires|literature_abstract] healthy household controls across Buenos Aires (27.8%), Edinburgh (33.9%), New Yo ; [United Kingdom:Edinburgh|literature_abstract] trols across Buenos Aire",literature;literature;literature,rule_place;rule_place;rule_place
PRJEB42304,139,139,fully_disjoint,Ireland(139),,Italy:Rome,[Italy:Rome|study_description] samples from 80 patients with IBS (Rome IV criteria 16-70 years old) and 6,study_meta,rule_place
PRJEB39813,134,134,fully_disjoint,Singapore(134),,China;India,"[China|study_description] Asian population consisting of Han Chinese, Malay and Indian descent. Healthy ; [India|study_description] nsisting of Han Chinese, Malay and Indian descent. Healthy controls ",study_meta;study_meta,rule_demonym;rule_demonym
PRJEB30611,126,126,fully_disjoint,China(126),,Japan:Kyoto,"[Japan:Kyoto|literature_abstract] se levels. Moreover, the microbial Kyoto Encyclopedia of Genes and Genomes",literature,rule_place
PRJNA946291,151,119,incomplete_subset,"USA(103); Germany: Brandenburg, Erpe River(32); Honduras(16)",,Germany:River Erpe,site stated in abstract,llm_agent,llm_agent
PRJNA727021,248,101,incomplete_subset,South Africa: Capetown(147); Gambia(101),,South Africa,South African birth cohort,llm_agent,llm_agent
PRJNA522654,338,98,fully_disjoint,Pacific Ocean:Lau Basin(124); Atlantic Ocean:Mid Cayman Rise(116); USA:Guaymas Basin(98),,"Mexico:Guaymas Basin, Gulf of California;Caribbean Sea:Mid-Cayman Rise;Tonga:Lau Basin","rule=['notcountry'] vs llm=['caribbean sea', 'mexico', 'tonga'] | Three hydrothermal regions named; assigned to nearest sovereign/marine region",llm_agent;llm_agent;llm_agent,llm_agent;llm_agent;llm_agent
PRJNA290729,92,92,fully_disjoint,Germany(92),,India;United States,[India|literature_abstract] AS nucleotide identity in American Indian (Cheyenne and Arapaho [C&A]) Oklah ; [United States|literature_abstract] o 100% ADAS nucleotide identity in American Indian (Cheye,literature;literature,rule_demonym;rule_demonym
