"project_accession","n_runs_in_project","n_conflict_rows","conflict_shape","conflict_from","orig_real_dates","orig_sentinel_count","infer_value_projlevel","infer_source_projlevel","infer_method_projlevel"
"PRJEB34871","1197","540","genuine_year","rule","2015-03-19(54)
 2015-03-12(38)
 2016-04-18(29)
 2016-05-23(28)
 2015-03-16(24)
 2015-04-26(23)
 2015-04-30(23)
 2015-04-20(23)
 2016-09-16(18)
 2013-12-23(15)
 2013-09-24(15)
 2013-12-11(15)
 2013-09-12(15)
 2013-09-13(14)
 2013-12-28(14)
 2013-12-18(14)
 2014-03-07(14)
 2014-01-21(14)
 2014-02-25(14)
 2013-12-25(14)
 2014-01-16(14)
 2013-09-23(14)
 2014-03-18(14)
 2014-02-18(14)
 2014-03-13(14)
 2016-05-18(14)
 2016-06-30(14)
 2016-05-26(14)
 2016-05-01(14)
 2016-05-03(14)
 2016-05-04(14)
 2016-05-29(14)
 2016-04-30(14)
 2016-06-01(14)
 2016-04-05(14)
 2016-06-16(14)
 2015-03-13(14)
 2015-04-27(14)
 2015-02-07(14)
 2015-03-23(14)
 2015-04-17(14)
 2015-04-15(14)
 2015-02-28(14)
 2015-02-03(14)
 2014-01-20(11)
 2014-05-31(10)
 2014-06-03(10)
 2014-07-28(10)
 2014-08-11(10)
 2014-08-25(10)
 2014-08-05(10)
 2016-09-19(10)
 2015-03-17(10)
 2015-03-24(10)
 2015-03-21(10)
 2016-10-31(10)
 2014-09-04(9)
 2014-06-24(9)
 2014-07-01(9)
 2014-04-02(9)
 2014-03-21(9)
 2014-04-21(9)
 2014-03-26(9)
 2014-05-21(9)
 2014-09-06(9)
 2014-05-30(9)
 2016-09-02(9)
 2016-08-26(9)
 2016-09-30(9)
 2016-08-25(9)
 2016-08-29(9)
 2016-10-10(9)
 2016-10-21(9)
 2016-09-01(9)
 2016-09-08(9)
 2016-11-23(9)
 2015-02-04(9)
 2015-03-31(9)
 2015-04-25(9)
 2014-08-21(9)
 2016-11-18(9)
 2014-03-17(6)
 2013-10-28(6)
 2013-11-03(6)
 2013-12-16(6)
 1905-07-06(6)
 1905-07-07(6)
 1905-07-08(6)
 2014-07-14(5)
 2013-11-04(5)
 2014-07-08(5)
 2014-08-18(5)
 2013-11-26(5)
 2013-11-22(5)
 2013-11-12(5)
 2014-03-24(5)
 2014-08-08(5)
 2014-02-03(5)
 2014-07-31(5)","0","2010-XX-XX
2014-XX-XX
2016-XX-XX
2017-XX-XX","study_meta
literature
literature
study_meta","rule_date
rule_date
rule_date
rule_date"
"PRJEB52774","486","486","genuine_year","rule","2017-01-13(8)
 2016-11-03(7)
 2017-07-26(5)
 2017-04-13(5)
 2017-07-13(5)
 2016-06-28(4)
 2016-08-12(4)
 2017-01-22(4)
 2017-05-14(4)
 2016-09-13(4)
 2016-08-13(4)
 2016-08-21(4)
 2016-11-23(3)
 2016-11-27(3)
 2017-08-23(3)
 2016-07-23(3)
 2017-11-11(3)
 2017-05-05(3)
 2017-01-04(3)
 2017-02-14(3)
 2017-02-05(3)
 2017-01-23(3)
 2017-07-25(3)
 2017-05-01(3)
 2017-11-28(3)
 2016-07-18(3)
 2016-04-30(3)
 2016-11-21(3)
 2016-09-17(3)
 2016-11-01(3)
 2017-02-24(3)
 2017-05-19(3)
 2016-07-02(3)
 2017-04-04(3)
 2016-10-11(2)
 2017-12-11(2)
 2016-08-17(2)
 2016-09-18(2)
 2016-08-08(2)
 2017-03-02(2)
 2017-05-02(2)
 2017-10-13(2)
 2016-10-25(2)
 2017-10-04(2)
 2017-04-12(2)
 2016-10-10(2)
 2017-04-22(2)
 2017-01-27(2)
 2016-11-04(2)
 2017-05-11(2)
 2017-02-15(2)
 2017-01-10(2)
 2018-01-07(2)
 2017-02-04(2)
 2018-02-20(2)
 2017-06-14(2)
 2017-09-16(2)
 2017-04-02(2)
 2017-05-22(2)
 2017-04-15(2)
 2017-06-06(2)
 2017-11-16(2)
 2017-05-23(2)
 2017-05-17(2)
 2017-06-20(2)
 2017-06-10(2)
 2017-10-14(2)
 2017-07-03(2)
 2017-08-15(2)
 2017-07-14(2)
 2017-08-05(2)
 2016-10-17(2)
 2016-12-03(2)
 2017-01-31(2)
 2016-11-06(2)
 2017-02-28(2)
 2017-07-18(2)
 2017-01-24(2)
 2016-06-29(2)
 2017-07-11(2)
 2017-07-24(2)
 2017-11-13(2)
 2016-07-19(2)
 2016-09-19(2)
 2017-08-10(2)
 2016-12-02(2)
 2017-04-24(2)
 2017-01-17(2)
 2018-01-17(2)
 2017-10-08(2)
 2017-07-27(2)
 2017-06-15(2)
 2017-08-22(2)
 2017-05-21(2)
 2017-06-07(2)
 2017-05-31(2)
 2017-08-26(2)
 2017-08-11(2)
 2017-09-24(2)
 2017-02-21(2)
 2016-09-15(2)
 2017-02-11(2)
 2016-11-25(2)
 2017-08-21(2)
 2017-02-23(2)
 2016-09-23(2)
 2017-08-25(2)
 2017-02-08(2)
 2017-04-19(2)
 2016-06-17(2)
 2016-08-01(1)
 2017-01-12(1)
 2018-02-14(1)
 2016-10-28(1)
 2017-07-20(1)
 2017-08-24(1)
 2017-08-27(1)
 2017-04-11(1)
 2017-02-13(1)
 2016-05-20(1)
 2016-04-16(1)
 2016-10-02(1)
 2016-11-12(1)
 2016-11-02(1)
 2017-11-01(1)
 2016-11-26(1)
 2017-01-30(1)
 2017-02-06(1)
 2017-11-06(1)
 2016-12-04(1)
 2017-02-12(1)
 2016-11-08(1)
 2017-01-26(1)
 2018-01-16(1)
 2017-07-10(1)
 2017-04-25(1)
 2017-03-18(1)
 2018-02-25(1)
 2017-07-06(1)
 2017-08-16(1)
 2017-11-27(1)
 2018-04-17(1)
 2017-06-18(1)
 2017-08-28(1)
 2017-11-21(1)
 2017-05-29(1)
 2017-12-22(1)
 2017-08-06(1)
 2017-09-28(1)
 2017-06-27(1)
 2017-11-07(1)
 2017-11-26(1)
 2018-09-05(1)
 2017-08-29(1)
 2016-08-14(1)
 2016-08-05(1)
 2016-07-03(1)
 2017-01-11(1)
 2016-09-01(1)
 2016-11-14(1)
 2016-10-26(1)
 2016-04-27(1)
 2017-03-28(1)
 2017-05-04(1)
 2016-12-01(1)
 2016-12-19(1)
 2016-07-13(1)
 2018-05-16(1)
 2018-11-13(1)
 2018-05-07(1)
 2017-02-02(1)
 2016-07-14(1)
 2017-02-27(1)
 2016-11-11(1)
 2016-08-30(1)
 2016-11-07(1)
 2017-02-09(1)
 2017-08-08(1)
 2017-04-27(1)
 2016-04-17(1)
 2016-09-26(1)
 2017-03-10(1)
 2017-06-08(1)
 2017-01-14(1)
 2017-01-16(1)
 2017-02-16(1)
 2018-02-01(1)
 2016-06-30(1)
 2018-01-14(1)
 2018-03-14(1)
 2018-04-08(1)
 2017-03-29(1)
 2017-10-26(1)
 2018-04-26(1)
 2017-04-18(1)
 2017-05-12(1)
 2017-11-02(1)
 2018-04-18(1)
 2017-11-23(1)
 2018-05-24(1)
 2017-10-12(1)
 2017-06-11(1)
 2018-05-22(1)
 2017-06-30(1)
 2017-09-09(1)
 2017-09-19(1)
 2018-06-27(1)
 2018-01-04(1)
 2018-07-04(1)
 2017-07-07(1)
 2017-07-19(1)
 2017-12-31(1)
 2018-02-05(1)
 2018-08-05(1)
 2017-09-08(1)
 2018-08-18(1)
 2018-02-26(1)
 2017-07-09(1)
 2017-12-03(1)
 2018-03-05(1)
 2018-03-29(1)
 2017-09-13(1)
 2016-10-19(1)
 2016-09-20(1)
 2016-07-11(1)
 2016-12-08(1)
 2016-09-08(1)
 2016-08-03(1)
 2016-08-19(1)
 2016-05-25(1)
 2016-07-27(1)
 2016-04-15(1)
 2016-08-22(1)
 2016-10-13(1)
 2016-05-22(1)
 2016-07-30(1)
 2016-04-22(1)
 2016-10-20(1)
 2017-02-10(1)
 2016-12-07(1)
 2017-12-07(1)
 2018-02-07(1)
 2018-11-07(1)
 2018-05-20(1)
 2016-08-10(1)
 2016-10-21(1)
 2017-01-21(1)
 2017-09-07(1)
 2016-11-20(1)
 2016-08-20(1)
 2017-09-02(1)
 2016-10-24(1)
 2017-09-20(1)
 2016-10-05(1)
 2016-10-16(1)
 2016-10-18(1)
 2016-12-05(1)
 2017-11-14(1)
 2017-11-08(1)
 2017-05-06(1)
 2017-11-29(1)
 2016-12-31(1)
 2017-12-09(1)
 2017-07-05(1)
 2018-01-05(1)
 2017-07-15(1)
 2017-01-05(1)
 2017-01-02(1)
 2017-08-09(1)
 2017-08-03(1)
 2016-12-12(1)
 2016-06-07(1)
 2016-05-27(1)
 2017-10-01(1)
 2018-04-13(1)
 2017-10-29(1)
 2017-04-14(1)
 2017-05-16(1)
 2017-07-12(1)
 2017-12-10(1)
 2017-07-02(1)
 2017-09-10(1)
 2018-06-19(1)
 2017-06-04(1)
 2017-09-25(1)
 2017-12-26(1)
 2017-10-25(1)
 2018-01-26(1)
 2017-07-28(1)
 2018-07-08(1)
 2018-02-18(1)
 2017-06-23(1)
 2018-08-28(1)
 2017-08-18(1)
 2017-10-17(1)
 2017-12-21(1)
 2016-09-07(1)
 2017-09-27(1)
 2016-08-02(1)
 2016-09-11(1)
 2016-09-28(1)
 2017-03-05(1)
 2016-10-08(1)
 2016-04-14(1)
 2016-11-28(1)
 2017-03-17(1)
 2016-12-30(1)
 2017-05-07(1)
 2016-11-29(1)
 2017-05-10(1)
 2017-02-22(1)
 2017-05-03(1)
 2017-08-02(1)
 2017-02-01(1)
 2016-12-26(1)
 2016-09-06(1)
 2016-07-25(1)
 2016-10-09(1)
 2016-06-22(1)
 2017-05-13(1)","0","2015-XX-XX
2020-XX-XX","study_meta
study_meta","rule_date
rule_date"
"PRJEB66439","472","472","genuine_year","rule","2020-09-25(35)
 2020-10-28(30)
 2020-11-02(23)
 2020-09-15(20)
 2020-11-04(20)
 2020-10-21(18)
 2020-08-19(16)
 2020-11-06(16)
 2020-11-25(16)
 2020-12-17(15)
 2020-11-16(14)
 2020-08-27(13)
 2020-09-04(12)
 2020-09-10(12)
 2020-10-16(12)
 2020-10-19(12)
 2020-10-20(12)
 2020-08-26(12)
 2020-09-11(11)
 2020-10-14(11)
 2020-10-23(11)
 2020-11-18(11)
 2020-09-09(10)
 2020-10-13(10)
 2020-12-03(10)
 2020-09-03(10)
 2020-10-15(9)
 2020-11-23(9)
 2020-09-08(8)
 2020-10-06(8)
 2020-11-20(8)
 2020-10-22(7)
 2020-12-04(7)
 2020-08-28(7)
 2020-09-22(6)
 2020-10-09(5)
 2020-10-07(3)
 2020-08-31(3)","0","2019-XX-XX","literature","rule_date"
"PRJNA528511","535","434","genuine_year","LLM","2018-02-01(6)
 2018-11-09(6)
 2018-10-18(6)
 2018-11-16(6)
 2018-11-05(5)
 2018-10-08(5)
 2019-02-10(5)
 2018-10-21(5)
 2018-04-24(4)
 2018-01-11(4)
 2018-02-24(4)
 2018-08-25(4)
 2018-04-19(4)
 2018-02-23(4)
 2018-10-13(4)
 2018-10-17(4)
 2018-03-08(4)
 2018-01-25(4)
 2018-10-30(4)
 2018-03-30(4)
 2019-01-07(4)
 2018-05-05(3)
 2018-03-28(3)
 2018-12-05(3)
 2019-01-30(3)
 2018-12-04(3)
 2018-11-20(3)
 2019-01-18(3)
 2018-11-19(3)
 2018-10-22(3)
 2018-11-01(3)
 2018-06-06(3)
 2018-08-18(3)
 2018-04-07(3)
 2018-01-27(3)
 2019-01-24(3)
 2018-07-03(3)
 2018-05-10(3)
 2018-04-06(3)
 2018-02-10(3)
 2018-01-16(3)
 2019-01-26(3)
 2019-01-28(3)
 2018-12-08(3)
 2018-12-24(3)
 2019-01-19(3)
 2018-10-01(3)
 2018-10-04(3)
 2018-06-30(3)
 2018-08-14(3)
 2018-11-15(3)
 2018-10-14(3)
 2018-09-16(3)
 2018-10-23(3)
 2018-04-20(3)
 2018-12-01(3)
 2018-11-27(3)
 2018-09-01(3)
 2018-04-13(3)
 2018-02-16(3)
 2019-02-25(3)
 2018-06-02(3)
 2019-01-02(3)
 2018-09-02(3)
 2018-05-09(3)
 2018-05-12(2)
 2018-05-07(2)
 2018-04-10(2)
 2018-02-21(2)
 2018-11-24(2)
 2019-01-08(2)
 2019-02-16(2)
 2018-02-11(2)
 2019-01-17(2)
 2019-01-10(2)
 2018-12-20(2)
 2018-08-02(2)
 2018-06-25(2)
 2018-06-09(2)
 2018-06-05(2)
 2018-05-30(2)
 2018-05-03(2)
 2018-03-06(2)
 2018-03-24(2)
 2018-11-26(2)
 2018-09-29(2)
 2018-02-03(2)
 2018-02-04(2)
 2018-06-26(2)
 2018-06-04(2)
 2018-04-17(2)
 2018-03-17(2)
 2018-01-28(2)
 2019-02-19(2)
 2018-05-19(2)
 2018-02-20(2)
 2018-05-13(2)
 2019-01-31(2)
 2018-09-15(2)
 2018-10-11(2)
 2018-09-23(2)
 2018-01-19(2)
 2018-09-25(2)
 2018-05-18(2)
 2018-04-18(2)
 2017-12-08(2)
 2018-12-27(2)
 2018-12-03(2)
 2018-11-30(2)
 2018-12-30(2)
 2018-07-07(2)
 2018-03-14(2)
 2018-02-22(2)
 2018-01-06(2)
 2018-11-17(2)
 2018-11-29(2)
 2018-12-07(2)
 2019-01-21(2)
 2018-10-05(2)
 2018-12-02(2)
 2018-11-12(2)
 2018-06-21(2)
 2018-05-25(2)
 2018-06-11(2)
 2018-09-17(2)
 2018-10-31(2)
 2018-04-08(2)
 2019-02-03(2)
 2019-01-16(2)
 2019-02-06(2)
 2019-01-13(2)
 2018-11-08(2)
 2018-09-08(2)
 2018-05-26(2)
 2018-02-15(2)
 2018-03-04(2)
 2018-12-11(2)
 2018-03-25(2)
 2019-02-22(2)
 2018-11-13(2)
 2018-12-25(2)
 2018-04-15(1)
 2018-03-07(1)
 2018-10-20(1)
 2018-07-10(1)
 2018-06-29(1)
 2018-08-01(1)
 2018-05-24(1)
 2018-07-23(1)
 2018-04-16(1)
 2018-01-07(1)
 2019-03-07(1)
 2019-03-10(1)
 2018-12-31(1)
 2019-02-17(1)
 2018-12-13(1)
 2018-01-29(1)
 2018-10-12(1)
 2018-07-13(1)
 2018-01-20(1)
 2018-07-08(1)
 2018-03-18(1)
 2018-03-05(1)
 2018-04-01(1)
 2018-03-02(1)
 2019-02-08(1)
 2019-01-29(1)
 2018-01-21(1)
 2019-02-05(1)
 2019-02-24(1)
 2018-10-07(1)
 2018-09-04(1)
 2018-01-13(1)
 2017-12-26(1)
 2018-05-11(1)
 2018-05-02(1)
 2018-04-28(1)
 2018-05-01(1)
 2019-03-28(1)
 2018-03-10(1)
 2017-12-19(1)
 2018-11-18(1)
 2018-09-21(1)
 2018-09-03(1)
 2018-12-22(1)
 2018-09-18(1)
 2018-11-11(1)
 2018-08-06(1)
 2018-04-30(1)
 2018-03-13(1)
 2018-02-13(1)
 2018-02-18(1)
 2018-10-29(1)
 2018-07-09(1)
 2018-06-23(1)
 2018-04-03(1)
 2018-04-23(1)
 2018-03-03(1)
 2018-03-11(1)
 2018-02-07(1)
 2019-03-31(1)
 2019-03-03(1)
 2019-01-14(1)
 2018-01-14(1)
 2019-01-03(1)
 2019-01-12(1)
 2019-01-15(1)
 2018-06-10(1)
 2019-03-27(1)
 2018-05-27(1)
 2018-06-24(1)
 2018-03-23(1)
 2019-04-01(1)
 2019-03-23(1)
 2019-02-09(1)
 2019-02-14(1)
 2018-12-17(1)
 2018-02-28(1)
 2018-11-25(1)
 2018-09-26(1)
 2018-09-11(1)
 2018-11-07(1)
 2018-08-11(1)
 2018-06-03(1)
 2019-04-22(1)
 2019-01-09(1)
 2018-01-05(1)
 2017-12-31(1)
 2019-02-04(1)
 2018-03-09(1)
 2018-12-15(1)
 2018-01-12(1)
 2018-10-03(1)
 2018-01-17(1)
 2018-08-31(1)
 2018-11-03(1)
 2018-09-27(1)
 2018-02-17(1)
 2018-07-25(1)
 2018-07-05(1)
 2018-06-12(1)
 2018-05-14(1)
 2018-05-21(1)
 2018-05-16(1)
 2018-04-14(1)
 2018-05-31(1)
 2018-10-02(1)
 2018-05-23(1)
 2018-03-29(1)
 2018-04-05(1)
 2018-03-15(1)
 2018-03-21(1)
 2018-03-19(1)
 2018-03-01(1)
 2018-01-08(1)
 2018-01-18(1)
 2018-11-10(1)
 2018-12-14(1)
 2018-11-02(1)
 2018-11-14(1)
 2018-10-24(1)
 2018-06-18(1)
 2018-07-24(1)
 2018-08-04(1)
 2018-07-28(1)
 2018-04-22(1)
 2018-03-22(1)
 2018-02-27(1)
 2019-02-23(1)
 2019-02-13(1)
 2019-02-01(1)
 2019-02-15(1)
 2018-11-28(1)
 2018-12-16(1)
 2018-01-22(1)
 2018-12-21(1)
 2018-09-19(1)
 2019-01-27(1)
 2018-10-15(1)
 2018-06-20(1)
 2019-01-04(1)
 2018-10-26(1)
 2018-07-19(1)
 2018-08-07(1)
 2018-06-14(1)
 2019-03-25(1)","10","2017-XX-XX
2019-XX-XX","llm_agent
llm_agent","llm_agent
llm_agent"
"PRJNA901878","466","418","genuine_year","LLM","2022-08(82)
 2021-08(63)
 2021-07(37)
 2021-12(31)
 2022-07(29)
 2019-04(21)
 2021-10(20)
 2021-09(19)
 2020-11(19)
 2021-11(16)
 2019-03(15)
 2022-01(12)
 2021-05(10)
 2019-08(9)
 2018-09(9)
 2020-12(8)
 2021-06(8)
 2020-07(6)
 2022-06(5)
 2019-12(5)
 2019-09(4)
 2022-04(4)
 2017-12(4)
 2020(3)
 2020-08(3)
 2020-10(3)
 2021-01(2)
 2020-05(2)
 2018-10(2)
 2020-01(1)
 2022-05(1)
 2020-09(1)
 2019-10(1)
 2018-11(1)
 2015-06(1)
 2019(1)
 2020-06(1)
 2021-03(1)
 2020-03(1)
 2016-03(1)
 2018-04(1)
 2019-05(1)
 2017-08(1)
 2018-12(1)","0","2020-XX-XX","llm_agent","llm_agent"
"PRJNA1000281","319","319","genuine_year","rule","2014/2015(319)","0","2020-XX-XX","literature","rule_date"
"PRJEB53055","818","298","genuine_year","LLM","2022-05-26(15)
 2022-06-21(15)
 2022-07-06(12)
 2022-08-01(11)
 2022-06-27(11)
 2022-07-13(11)
 2022-08-04(11)
 2022-06-28(10)
 2022-07-12(10)
 2022-06-06(9)
 2022-07-05(9)
 2022-06-24(9)
 2022-08-16(9)
 2022-05-15(8)
 2022-07-26(8)
 2022-07-15(8)
 2022-07-07(8)
 2022-06-30(8)
 2022-06-22(8)
 2022-06-14(8)
 2022-08-05(8)
 2022-06-02(7)
 2022-07-27(7)
 2022-08-02(7)
 2022-08-08(7)
 2022-05-19(6)
 2022-05-23(6)
 2022-06-03(6)
 2022-07-28(6)
 2022-06-23(6)
 2022-07-14(6)
 2022-06-15(6)
 2022-06-07(6)
 2022-07-11(6)
 2022-08-11(6)
 2022-08-12(6)
 2022-08-18(6)
 2022-08-23(6)
 2022-08-30(6)
 2022-09-05(6)
 2023-08-01(6)
 2022-05-27(5)
 2022-06-20(5)
 2022-06-19(5)
 2022-06-17(5)
 2022-06-08(5)
 2022-07-19(5)
 2022-08-09(5)
 2022-08-17(5)
 2022-08-03(5)
 2022-08-26(5)
 2023-07-21(5)
 2023-09-19(5)
 2023-10-12(5)
 2023-08-08(5)
 2026-02-04(5)
 2022-05-20(4)
 2022-05-18(4)
 2022-05-24(4)
 2022-07-31(4)
 2022-07-25(4)
 2022-07-21(4)
 2022-07-18(4)
 2022-06-04(4)
 2022-07-03(4)
 2022-08-19(4)
 2023-08-07(4)
 2025-12-17(4)
 2026-06-20(4)
 2022-05-30(3)
 2022-07-08(3)
 2022-06-29(3)
 2022-08-22(3)
 2022-08-27(3)
 2022-08-24(3)
 2022-08-31(3)
 2022-09-06(3)
 2022-07-20(3)
 2022-05-31(3)
 2023-07-07(3)
 2023-06-27(3)
 2023-08-11(3)
 2022-12-29(3)
 2023-10-29(3)
 2023-08-03(3)
 2023-08-10(3)
 2023-09-07(3)
 2023-10-03(3)
 2023-12-21(3)
 2024-02-15(3)
 2025-12-02(3)
 2025-12-10(3)
 2025-12-16(3)
 2025-12-30(3)
 2026-01-22(3)
 2026-06-18(3)
 2026-06-16(3)
 2026-06-05(3)
 2022-07-22(2)
 2022-07-29(2)
 2022-07-23(2)
 2022-06-09(2)
 2022-06-12(2)
 2022-06-26(2)
 2022-06-10(2)
 2022-08-07(2)
 2022-09-09(2)
 2022-08-10(2)
 2022-08-15(2)
 2022-08-13(2)
 2022-08-20(2)
 2022-09-02(2)
 2022-09-14(2)
 2022-06-25(2)
 2022-06-18(2)
 2022-05-25(2)
 2023-06-22(2)
 2023-06-25(2)
 2023-07-26(2)
 2023-08-21(2)
 2023-08-22(2)
 2023-09-05(2)
 2022-11-08(2)
 2022-12-14(2)
 2023-09-22(2)
 2023-09-25(2)
 2023-09-26(2)
 2023-10-04(2)
 2023-10-10(2)
 2023-07-13(2)
 2023-07-18(2)
 2023-09-12(2)
 2023-09-29(2)
 2023-10-13(2)
 2023-11-08(2)
 2023-07-04(2)
 2023-08-02(2)
 2023-11-30(2)
 2024-08-06(2)
 2025-02-07(2)
 2025-01-07(2)
 2025-11-28(2)
 2025-12-09(2)
 2026-01-12(2)
 2026-01-20(2)
 2026-01-23(2)
 2026-01-13(2)
 2026-01-15(2)
 2026-01-06(2)
 2026-03-09(2)
 2026-05-11(2)
 2026-05-14(2)
 2026-06-15(2)
 2026-05-28(2)
 2026-05-20(2)
 2026-06-03(2)
 2022-05-05(1)
 2022-05-04(1)
 2022-05-17(1)
 2022-05-21(1)
 2022-05-13(1)
 2022-07-02(1)
 2022-06-16(1)
 2022-06-13(1)
 2022-06-05(1)
 2022-06-01(1)
 2022-05-28(1)
 2022-05-22(1)
 2022-08-25(1)
 2022-09-03(1)
 2022-09-10(1)
 2022-09-13(1)
 2022-08-21(1)
 2022-09-12(1)
 2022-09-16(1)
 2022-07-30(1)
 2022-07-10(1)
 2022-07-04(1)
 2022-07-01(1)
 2022-05-29(1)
 2022-08-29(1)
 2022-09-01(1)
 2022-09-15(1)
 2023-03-21(1)
 2023-06-15(1)
 2023-07-10(1)
 2023-06-16(1)
 2023-06-20(1)
 2023-09-15(1)
 2022-11-29(1)
 2022-09-21(1)
 2023-01-06(1)
 2023-01-12(1)
 2023-09-21(1)
 2023-09-24(1)
 2023-10-06(1)
 2023-10-19(1)
 2023-11-01(1)
 2023-07-19(1)
 2023-07-17(1)
 2023-07-24(1)
 2023-08-17(1)
 2023-08-31(1)
 2023-09-01(1)
 2023-09-14(1)
 2023-09-18(1)
 2022-11-25(1)
 2022-12-07(1)
 2023-10-17(1)
 2023-10-31(1)
 2023-11-02(1)
 2023-11-07(1)
 2023-11-09(1)
 2023-11-16(1)
 2023-11-20(1)
 2023-11-28(1)
 2023-07-03(1)
 2023-06-29(1)
 2023-07-28(1)
 2023-07-15(1)
 2023-08-13(1)
 2023-09-08(1)
 2022-10-20(1)
 2022-12-26(1)
 2023-09-27(1)
 2023-10-02(1)
 2023-10-18(1)
 2023-10-20(1)
 2023-10-27(1)
 2023-10-28(1)
 2023-10-26(1)
 2023-11-18(1)
 2023-11-23(1)
 2024-01-18(1)
 2024-01-15(1)
 2024-01-13(1)
 2024-01-30(1)
 2023-12-13(1)
 2023-12-27(1)
 2024-01-06(1)
 2024-01-12(1)
 2024-02-19(1)
 2024-07-16(1)
 2024-08-13(1)
 2024-08-08(1)
 2024-06-21(1)
 2024-07-23(1)
 2024-10-01(1)
 2024-12-18(1)
 2024-12-27(1)
 2025-01-09(1)
 2025-03-17(1)
 2025-04-10(1)
 2025-05-28(1)
 2025-03-05(1)
 2025-03-12(1)
 2025-03-20(1)
 2025-04-27(1)
 2025-05-19(1)
 2025-06-04(1)
 2025-04-15(1)
 2025-04-23(1)
 2025-05-20(1)
 2025-11-19(1)
 2025-12-18(1)
 2025-11-13(1)
 2025-11-14(1)
 2025-12-22(1)
 2025-12-23(1)
 2026-01-17(1)
 2026-01-16(1)
 2026-01-29(1)
 2026-02-05(1)
 2025-12-20(1)
 2026-01-14(1)
 2026-01-21(1)
 2025-11-20(1)
 2025-12-12(1)
 2025-12-29(1)
 2026-01-27(1)
 2025-11-08(1)
 2026-01-24(1)
 2026-02-11(1)
 2026-02-21(1)
 2026-04-02(1)
 2026-03-30(1)
 2026-04-13(1)
 2026-03-27(1)
 2026-04-21(1)
 2026-02-16(1)
 2026-02-25(1)
 2026-03-06(1)
 2026-04-23(1)
 2026-03-10(1)
 2026-03-04(1)
 2026-04-08(1)
 2026-03-31(1)
 2026-05-05(1)
 2026-04-26(1)
 2026-05-13(1)
 2026-05-21(1)
 2026-05-29(1)
 2026-06-01(1)
 2026-06-02(1)
 2026-06-11(1)
 2026-06-17(1)
 2026-06-22(1)
 2026-05-25(1)
 2026-06-19(1)
 2026-05-18(1)
 2026-05-22(1)
 2026-06-24(1)
 2026-06-09(1)
 2026-06-12(1)","0","2022-XX-XX","llm_agent","llm_agent"
"PRJEB63351","288","288","genuine_year","rule","2018(288)","0","2017-XX-XX
2019-XX-XX
2020-XX-XX","literature
literature
literature","rule_date
rule_date
rule_date"
"PRJEB42014","472","280","genuine_year","rule","1990(20)
 1977(20)
 1982(16)
 1988(16)
 1991(16)
 1943(12)
 1864(12)
 1989(12)
 2012(12)
 1970(8)
 1967(8)
 1980(8)
 1987(8)
 2011(8)
 2010(8)
 2016(8)
 1915(4)
 1842(4)
 1956(4)
 1964(4)
 1962(4)
 1983(4)
 1981(4)
 1966(4)
 1974(4)
 1939(4)
 1985(4)
 1963(4)
 1986(4)
 1992(4)
 2006(4)
 2008(4)
 2009(4)
 1998(4)
 2001(4)
 1846(4)
 2005(4)
 1940(4)
 1948(4)
 1960(4)
 1965(4)
 1999(4)
 2007(4)","172","2021-08-XX","study_meta","rule_date"
"PRJEB46778","260","260","genuine_year","rule","2009/2010(90)
 2014(4)
 2013-05-03(4)
 2013-11-25(4)
 2012-01-18(2)
 2012-07-20(2)
 2012-04-11(2)
 2013-07-19(2)
 2012-10-26(2)
 2012-12-29(2)
 2012-10-08(2)
 2013-02-12(2)
 2012-10-31(2)
 2013-01-04(2)
 2013-09-06(2)
 2013-07-10(2)
 2013-09-11(2)
 2013-11-04(2)
 2013-11-12(2)
 2013-12-03(2)
 2014-06-23(2)
 2014-03-12(2)
 2014-05-15(2)
 2015-01-19(2)
 2015-02-17(2)
 2013-04-05(2)
 2013-11-06(2)
 2014-09-08(2)
 2012-01-25(2)
 2011-12-27(2)
 2012-03-22(2)
 2013-10-03(2)
 2013-04-03(2)
 2013-04-26(2)
 2013-01-29(2)
 2012-12-19(2)
 2013-05-29(2)
 2013-07-22(2)
 2014-03-10(2)
 2014-03-13(2)
 2014/2015(2)
 2012-10-10(2)
 2012-01-02(2)
 2012-05-14(2)
 2012-03-26(2)
 2012-03-16(2)
 2012-06-15(2)
 2013-05-20(2)
 2013-08-05(2)
 2012-10-01(2)
 2013-02-05(2)
 2012-09-24(2)
 2012-10-18(2)
 2013-07-24(2)
 2013-08-09(2)
 2013-10-21(2)
 2014-09-01(2)
 2014-09-30(2)
 2012-01-04(2)
 2011-12-28(2)
 2013-05-21(2)
 2014-10-08(2)
 2013-10-17(2)
 2013-06-17(2)
 2014-12-23(2)
 2012-04-27(2)
 2013-06-12(2)
 2013-08-22(2)
 2014-01-28(2)
 2014-02-06(2)
 2014-02-19(2)
 2012-10-03(2)
 2013-06-19(2)
 2009-03-11(2)
 2009-03-31(2)
 2009-06-18(2)
 2009-07-15(2)
 2009-08-15(2)
 2009-12-18(2)
 2009-02-10(2)
 2009-08-19(2)
 2009-12-04(2)
 2009-12-11(2)","0","2016-XX-XX
2017-XX-XX","study_meta
study_meta","rule_date
rule_date"
