project_accession,n_runs_in_project,n_conflict_rows,n_overlap_rows,conflict_side,conflict_ratio,infer_value_projlevel,misjudge_source,infer_method_top,orig_real_date_dist,orig_sentinel_dist
PRJEB66439,472,472,472,orig_after_interval,1.0,2019-XX-XX,rule,literature|rule_date,2020:472,
PRJEB42014,472,300,300,orig_before_interval,0.6356,2021-08-XX,rule,study_meta|rule_date,1990:20; 1977:20; 1982:16; 1988:16; 1991:16; 1943:12; 1864:12; 1989:12; 2012:12; 1970:8; 1967:8; 1980:8; 1987:8; 2011:8; 2010:8,SENTINEL:not collected:172
PRJEB53055,818,298,818,orig_after_interval,0.3643,2022-XX-XX,llm,llm_agent|llm_agent,2022:520; 2023:143; 2026:87; 2025:48; 2024:20,
PRJEB34633,277,257,277,orig_after_interval,0.9278,2015-XX-XX,llm,llm_agent|llm_agent,2016:127; 2017:86; 2018:44; 2015:20,
PRJNA1150505,236,236,236,orig_before_interval,1.0,2020-XX-XX,rule,literature|rule_date,2016:236,
PRJNA376566,408,223,408,orig_after_interval,0.5466,2012-XX-XX;2013-XX-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2014:223; 2012:150; 2013:35,
PRJNA1219970,221,221,221,orig_after_interval,1.0,2006-XX-XX,rule,literature|rule_date,2023:61; 2019:38; 2022:35; 2020:29; 2021:27; 2018:21; 2017:10,
PRJEB29052,184,184,184,orig_after_interval,1.0,2014-XX-XX,rule,literature|rule_date,2016:184,
PRJEB46779,178,178,178,orig_before_interval,1.0,2018-XX-XX,rule,study_meta|rule_date,2015:156; 2016:10; 2013:8; 2014:4,
PRJNA744354,248,168,248,orig_after_interval,0.6774,2018-07-XX,llm,llm_agent|llm_agent,2019:144; 2018:80; 2020:24,
PRJEB46778,260,168,168,orig_before_interval,0.6462,2016-XX-XX;2017-XX-XX,rule,study_meta;study_m|rule_date;rule_dat,2013:66; 2012:44; 2014:30; 2009:20; 2015:4; 2011:4,UNPARSED:2009/2010:90; UNPARSED:2014/2015:2
PRJEB43119,165,128,165,orig_before_interval|orig_after_interval,0.7758,2018-XX-XX,llm,llm_agent|llm_agent,2019:86; 2018:37; 2016:19; 2017:10; 2015:10; 2020:3,
PRJEB36820,118,118,118,orig_after_interval,1.0,2002-XX-XX,rule,study_meta|rule_date,2018:118,
PRJNA477424,217,106,217,orig_after_interval,0.4885,2016-XX-XX,llm,llm_agent|llm_agent,2016:111; 2017:106,
PRJNA855930,105,105,105,orig_before_interval,1.0,2022-XX-XX,llm,llm_agent|llm_agent,2009:60; 2016:45,
PRJNA429141,100,98,100,orig_after_interval,0.98,2015-06-XX,llm,llm_agent|llm_agent,2019:32; 2018:26; 2017:22; 2021:12; 2016:6; 2015:2,
PRJEB51229,93,93,93,orig_after_interval,1.0,2016-XX-XX,llm,llm_agent|llm_agent,2018:54; 2017:37; 2019:2,
PRJNA1040445,91,91,91,orig_after_interval,1.0,2000-XX-XX,rule,literature|rule_date,2020:91,
PRJDB6962,97,88,97,orig_after_interval,0.9072,2011-XX-XX;2017-XX-XX,rule,literature;literat|rule_date;rule_dat,2022:61; 2018:18; 2017:9; 2019:9,
PRJNA292471,87,87,87,orig_after_interval,1.0,2012-XX-XX,rule,literature|rule_date,2013:60; 2014:27,
PRJEB35961,76,76,76,orig_after_interval,1.0,2000-XX-XX,rule,study_meta|rule_date,2013:76,
PRJNA946560,75,75,75,orig_after_interval,1.0,2002-XX-XX,llm,llm_agent|llm_agent,2019:14; 2016:13; 2020:8; 2015:7; 2014:5; 2010:5; 2017:4; 2013:4; 2012:3; 2018:3; 2021:2; 2011:2; 2003:2; 2006:1; 2009:1,
PRJNA436552,258,74,258,orig_before_interval,0.2868,2018-XX-XX,llm,llm_agent|llm_agent,2018:184; 2017:74,
PRJNA588650,87,73,87,orig_before_interval|orig_after_interval,0.8391,2016-XX-XX,llm,llm_agent|llm_agent,2015:72; 2016:14; 2019:1,
PRJEB41174,65,65,65,orig_before_interval,1.0,2018-XX-XX,rule,study_meta|rule_date,2014:42; 2013:23,
PRJDB12894,119,63,119,orig_after_interval,0.5294,2021-XX-XX,llm,llm_agent|llm_agent,2022:63; 2021:56,
PRJNA486429,106,62,106,orig_after_interval,0.5849,2012-XX-XX,llm,llm_agent|llm_agent,2013:62; 2012:44,
PRJEB50613,62,62,62,orig_after_interval,1.0,1995-XX-XX,rule,study_meta|rule_date,2018:12; 2017:12; 2016:9; 2015:9; 2000:4; 2002:4; 2003:4; 1999:3; 2001:3; 2004:2,
PRJNA853129,65,58,65,orig_after_interval,0.8923,2019-XX-XX,llm,llm_agent|llm_agent,2020:31; 2021:27; 2019:7,
PRJEB35770,62,56,56,orig_after_interval,0.9032,2014-XX-XX,rule,literature|rule_date,2017:38; 2016:8; 2018:5; 2019:3; 2015:2,UNPARSED:2018-10:4; UNPARSED:2018-07:2
PRJNA577476,59,53,59,orig_after_interval,0.8983,2013-XX-XX,llm,llm_agent|llm_agent,2016:30; 2015:23; 2013:6,
PRJNA1154401,54,52,54,orig_before_interval,0.963,2022-XX-XX;2023-XX-XX,rule,literature;literat|rule_date;rule_dat,2021:34; 2020:18; 2022:2,
PRJEB65300,50,50,50,orig_after_interval,1.0,2016-XX-XX,llm,llm_agent|llm_agent,2022:50,
PRJNA1175865,128,48,128,orig_before_interval|orig_after_interval,0.375,2023-09-XX,llm,llm_agent|llm_agent,2023:80; 2024:38; 2022:10,
PRJNA509305,226,47,223,orig_after_interval,0.208,2014-XX-XX,llm,llm_agent|llm_agent,2014:176; 2015:47,SENTINEL:missing:3
PRJNA940347,93,47,93,orig_after_interval,0.5054,2021-12-XX,llm,llm_agent|llm_agent,2022:47; 2021:46,
PRJNA289734,45,45,45,orig_after_interval,1.0,2000-XX-XX,rule,literature|rule_date,2011:45,
PRJEB34883,56,44,56,orig_after_interval,0.7857,2013-XX-XX,llm,llm_agent|llm_agent,2015:34; 2013:12; 2014:10,
PRJNA1256532,40,40,40,orig_after_interval,1.0,1917-XX-XX,rule,literature|rule_date,2025:27; 2024:13,
PRJNA448579,61,39,61,orig_after_interval,0.6393,2015-08-XX,llm,llm_agent|llm_agent,2017:39; 2015:22,
PRJNA328258,36,36,36,orig_before_interval,1.0,2023-XX-XX,rule,literature|rule_date,2012:20; 2013:10; 2014:5; 2010:1,
PRJEB76591,33,32,33,orig_before_interval|orig_after_interval,0.9697,2017-XX-XX,llm,llm_agent|llm_agent,2022:13; 2020:9; 2021:5; 2019:2; 2018:2; 2017:1; 1991:1,
PRJNA1225594,56,31,31,orig_after_interval,0.5536,2006-XX-XX,rule,literature|rule_date,2019:25; 2021:6,SENTINEL:not collected:20; UNPARSED:2019-11-29T17:56:02Z:1; UNPARSED:2019-11-19T17:53:03Z:1; UNPARSED:2019-11:1; UNPARSED:2019-12:1; UNPARSED:2019-11-29T17:53:01Z:1
PRJNA561465,30,30,30,orig_after_interval,1.0,2012-XX-XX,llm,llm_agent|llm_agent,2013:16; 2014:14,
PRJNA865262,70,30,70,orig_after_interval,0.4286,2018-XX-XX,llm,llm_agent|llm_agent,2018:40; 2019:30,
PRJNA831438,30,30,30,orig_before_interval,1.0,2021-XX-XX,llm,llm_agent|llm_agent,2019:30,
PRJEB40798,150,29,150,orig_before_interval|orig_after_interval,0.1933,2018-11-XX,llm,llm_agent|llm_agent,2018:121; 2019:26; 2017:3,
PRJNA769790,29,29,29,orig_before_interval|orig_after_interval,1.0,2016-XX-XX;2017-XX-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2019:12; 2000:4; 1999:3; 1998:3; 1997:3; 2002:2; 2003:1; 2001:1,
PRJNA685934,48,27,48,orig_before_interval,0.5625,2018-XX-XX,llm,llm_agent|llm_agent,2018:21; 2016:15; 2017:10; 2012:2,
PRJNA498951,58,26,58,orig_after_interval,0.4483,2018-08-XX,llm,llm_agent|llm_agent,2018:32; 2019:26,
PRJNA1054206,28,26,26,orig_after_interval,0.9286,1969-XX-XX,rule,literature|rule_date,2017:26,SENTINEL::2
PRJEB83251,26,26,26,orig_after_interval,1.0,2020-XX-XX,rule,literature|rule_date,2021:26,
PRJNA718649,36,25,33,orig_after_interval,0.6944,2017-09-XX,llm,llm_agent|llm_agent,2018:25; 2017:8,SENTINEL:not applicable:3
PRJEB28728,24,24,24,orig_before_interval,1.0,2018-XX-XX,llm,llm_agent|llm_agent,2016:24,
PRJEB28815,24,24,24,orig_before_interval,1.0,2018-XX-XX,llm,llm_agent|llm_agent,2016:24,
PRJEB30264,24,24,24,orig_before_interval,1.0,2018-XX-XX,llm,llm_agent|llm_agent,2016:24,
PRJEB28830,22,22,22,orig_before_interval,1.0,2018-XX-XX,llm,llm_agent|llm_agent,2016:22,
PRJNA565265,24,22,24,orig_after_interval,0.9167,2015-XX-XX,llm,llm_agent|llm_agent,2017:12; 2016:10; 2015:2,
PRJNA1036590,44,22,44,orig_before_interval,0.5,2020-XX-XX,rule,literature|rule_date,2012:22; 2020:22,
PRJNA510413,28,21,28,orig_after_interval,0.75,2009-XX-XX,llm,llm_agent|llm_agent,2016:8; 2009:7; 2018:5; 2014:4; 2012:4,
PRJEB23349,20,20,20,orig_before_interval,1.0,2018-11-XX,rule,study_meta|rule_date,2016:20,
PRJNA288501,19,19,19,orig_before_interval,1.0,2016-XX-XX,rule,literature|rule_date,2012:17; 2013:2,
PRJNA312985,18,18,18,orig_before_interval,1.0,2016-XX-XX,rule,literature|rule_date,2013:10; 2014:8,
PRJNA434758,33,18,33,orig_after_interval,0.5455,2014-XX-XX,llm,llm_agent|llm_agent,2014:15; 2017:9; 2016:9,
PRJEB34871,1197,18,1197,orig_before_interval,0.015,2010-XX-XX;2014-XX-XX;2016-XX-XX;2017-XX-XX,rule,study_meta;literat|rule_date;rule_dat,2015:354; 2016:348; 2014:309; 2013:168; 1905:18,
PRJNA803589,18,18,18,orig_before_interval,1.0,2022-XX-XX,llm,llm_agent|llm_agent,2017:8; 2013:7; 2015:3,
PRJNA274897,17,17,17,orig_after_interval,1.0,2010-XX-XX,rule,literature|rule_date,2013:17,
PRJNA429145,19,17,19,orig_after_interval,0.8947,2016-05-XX,llm,llm_agent|llm_agent,2017:11; 2018:6; 2016:2,
PRJNA1028672,17,17,17,orig_after_interval,1.0,2006-XX-XX,rule,literature|rule_date,2021:8; 2022:8; 2020:1,
PRJNA266338,16,16,16,orig_after_interval,1.0,2001-XX-XX,rule,literature|rule_date,2011:16,
PRJEB22302,16,16,16,orig_before_interval,1.0,2015-XX-XX,rule,study_meta|rule_date,2011:16,
PRJEB44815,16,16,16,orig_before_interval,1.0,2018-XX-XX,llm,llm_agent|llm_agent,2017:16,
PRJNA1066815,242,16,136,orig_after_interval,0.0661,2021-XX-XX;2022-XX-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2022:120; 2023:16,UNPARSED:2021-05:106
PRJNA784716,154,16,154,orig_after_interval,0.1039,2019-XX-XX;2020-XX-XX,llm,llm_agent;llm_agen|llm_agent;llm_agen,2020:97; 2019:41; 2021:16,
PRJDB12736,48,16,48,orig_after_interval,0.3333,2018-XX-XX,llm,llm_agent|llm_agent,2018:32; 2019:16,
PRJNA266569,43,15,43,orig_before_interval,0.3488,2014-XX-XX,llm,llm_agent|llm_agent,2014:28; 2012:10; 2013:2; 2011:1; 2009:1; 2010:1,
PRJNA304352,15,15,15,orig_before_interval,1.0,2016-XX-XX,rule,literature|rule_date,2013:6; 2014:6; 2012:3,
PRJNA1062328,15,15,15,orig_after_interval,1.0,2000-XX-XX;2005-08-XX,rule,literature;literat|rule_date;rule_dat,2021:15,
PRJNA247822,46,14,14,orig_after_interval,0.3043,1969-XX-XX,rule,literature|rule_date,2012:7; 2015:4; 2009:3,SENTINEL:missing:32
PRJEB21338,14,14,14,orig_before_interval,1.0,2016-XX-XX;2017-XX-XX,rule,literature;literat|rule_date;rule_dat,2014:14,
PRJEB40815,148,14,148,orig_after_interval,0.0946,2017-11-XX,llm,llm_agent|llm_agent,2017:134; 2018:14,
PRJNA852163,17,13,17,orig_after_interval,0.7647,2017-XX-XX,llm,llm_agent|llm_agent,2019:9; 2017:4; 2018:4,
PRJEB66438,33,13,13,orig_after_interval,0.3939,2019-XX-XX,rule,literature|rule_date,2021:10; 2020:3,UNPARSED:2021-08:20
PRJEB35337,12,12,12,orig_after_interval,1.0,1974-XX-XX,llm,llm_agent|llm_agent,1977:12,
PRJNA836635,12,12,12,orig_after_interval,1.0,2020-08-XX,llm,llm_agent|llm_agent,2021:12,
PRJNA257561,11,11,11,orig_before_interval,1.0,2016-XX-XX,rule,literature|rule_date,2013:11,
PRJNA488159,23,11,23,orig_after_interval,0.4783,2013-XX-XX,llm,llm_agent|llm_agent,2013:12; 2014:11,
PRJEB57859,22,10,22,orig_after_interval,0.4545,2019-XX-XX,llm,llm_agent|llm_agent,2019:12; 2020:10,
PRJNA216965,9,9,9,orig_after_interval,1.0,1998-XX-XX;2000-XX-XX,rule,literature;study_m|rule_date;rule_dat,2011:9,
PRJNA312830,9,9,9,orig_before_interval,1.0,2016-XX-XX,rule,literature|rule_date,2012:7; 2007:1; 2014:1,
PRJNA321556,9,9,9,orig_after_interval,1.0,1970-XX-XX,rule,literature|rule_date,2014:5; 2013:4,
PRJNA322849,9,9,9,orig_after_interval,1.0,1971-XX-XX,rule,study_meta|rule_date,2013:9,
PRJEB31563,10,9,10,orig_after_interval,0.9,2015-12-XX,llm,llm_agent|llm_agent,2016:9; 2015:1,
PRJNA704702,12,9,12,orig_after_interval,0.75,2014-12-XX,llm,llm_agent|llm_agent,2015:9; 2014:3,
PRJNA967213,9,9,9,orig_after_interval,1.0,2020-XX-XX,llm,llm_agent|llm_agent,2022:9,
PRJNA244670,8,8,8,orig_after_interval,1.0,2000-XX-XX,rule,study_meta|rule_date,2013:7; 2012:1,
