project_accession,orig_span,infer_span,n_orig_runs,orig_year_min,orig_year_max,orig_year_dist,category,outlier_flag,orig_span_excl_outlier,has_invalid_orig,infer_value,study_title,center_name
PRJNA1266601,205,,7,1816,2021,1816:2; 1818:2; 1839:2; 2021:1,archival,"high:2021(1runs,gap182)",23,,,,
PRJEB42014,174,0,472,1842,2016,1842:4; 1846:4; 1864:12; 1915:4; 1939:4; 1940:4; 1943:12; 1948:4; 1956:4; 1960:4; 1962:4; 1963:4; 1964:4; 1965:4; 1966:4; 1967:8; 1970:8; 1974:4; 1977:20; 1980:8; 1981:4; 1982:16; 1983:4; 1985:4; 1986:4; 1987:8; 1988:16; 1989:12; 1990:20; 1991:16; 1992:4; 1998:4; 1999:4; 2001:4; 2005:4; 2006:4; 2007:4; 2008:4; 2009:4; 2010:8; 2011:8; 2012:12; 2016:8,archival,,,,2021,The oral microbiota of wild bears in Sweden reflects the history of antibiotic use by huma,Norwegian Institute for 
PRJNA1367884,156,,20,1814,1970,1814:4; 1884:2; 1929:2; 1970:1,other,"high:1970(1runs,gap41)",115,,,,
PRJNA857715,116,,58,1905,2021,1905:1; 1989:1; 2010:1; 2011:9; 2018:43; 2021:3,archival,"low:1905(1runs,gap84)",32,,,Complex samples enriched with a Francisella bait system Raw sequence reads,Northern Arizona Univers
PRJNA691059,115,,3,1903,2018,1903:2; 2018:1,archival,,,,,Metagenomic testing of a historic fungal mycelial mat,University of York
PRJNA824010,115,,186,1905,2020,1905:1; 2018:110; 2019:36; 2020:8,archival,"low:1905(1runs,gap113)",2,,,,
PRJEB49241,114,,73,1905,2019,1905:2; 2016:1; 2017:12; 2018:25; 2019:33,archival,"low:1905(2runs,gap111)",3,,,,
PRJNA423170,112,,52,1905,2017,1905:2; 1952:1; 1956:1; 1958:2; 1963:2; 1969:5; 1972:4; 1990:1; 1995:2; 2002:1; 2005:6; 2007:1; 2008:7; 2009:3; 2010:3; 2011:1; 2012:3; 2016:1; 2017:6,archival,"low:1905(2runs,gap47)",65,,,Metagenome datasets from insect species that can potentially contaminate foods. These data,FDA
PRJEB34871,111,7,1197,1905,2016,1905:18; 2013:168; 2014:309; 2015:354; 2016:348,archival,,,,2010;2014;2016;2017,Predicting antibiotic resistance in clinical infections caused by Enterobacterales from ag,CENTRE FOR ECOLOGY AND H
PRJNA681892,109,,76,1909,2018,1909:1; 1931:1; 1946:2; 1958:2; 1959:2; 1963:1; 1965:2; 1966:1; 1969:2; 1970:1; 1972:1; 1973:2; 1974:2; 1975:6; 1978:2; 1979:1; 1980:3; 1982:4; 1988:2; 1993:5; 1995:1; 1997:2; 1999:1; 2000:2; 2001:3; 2002:10; 2003:1; 2006:5; 2007:2; 2012:1; 2013:3; 2018:2,archival,,,,,Raw sequence reads from the light organs of Siphamia fishes,California Academy of Sc
