project_accession,n_runs_in_project,n_conflict_rows,conflict_ratio,orig_sentinel_count,orig_real_hosts,orig_distinct_real,infer_value_projlevel,conflict_concept_pair,misjudge_source,infer_source_detail,infer_method_detail
PRJNA858101,587,392,0.6678,0,mus musculus:392; homo sapiens:195,2,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:392,llm_agent:392
PRJNA779404,369,368,0.9973,0,swine:341; sus scrofa domesticus:27; msa-2002_mock-community;msa-2002 mock-community:1,3,milk metagenome,"orig={'pig'} -> infer={'bovine', 'human'}",llm,llm_agent:368,llm_agent:368
PRJEB42019,2800,362,0.1293,1611,myodes glareolus:330; atta colombica:46; bankia setacea:44; phyllospora comosa:44; tetragonisca angustula:40; porites lobata:40,89,Homo sapiens:human;soil metagenome,"orig={'rat'} -> infer={'soil', 'human'}",rule,literature;study_meta:362,rule_host_human;rule_host_env:362
PRJNA450709,243,243,1.0,0,mouse:243,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:243,llm_agent:243
PRJNA1413407,343,221,0.6443,14,mus musculus:221; homo sapiens:108,2,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:221,llm_agent:221
PRJEB44552,151,151,1.0,0,pan troglodytes:151,1,human gut metagenome;mouse gut metagenome,"orig={'primate'} -> infer={'mouse', 'human'}",llm,llm_agent;llm_agent:151,llm_agent;llm_agent:151
PRJNA518912,151,151,1.0,0,mus musculus:151,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:151,llm_agent:151
PRJNA1010707,148,148,1.0,0,mus musculus:148,1,gut metagenome;gut metagenome:intestinal;oral metagenome,orig={'mouse'} -> infer={'human'},rule,literature;literature;literature:148,rule_host_env;rule_host_env;rule_host_env:148
PRJNA843963,263,112,0.4259,0,homo sapiens:116; ovis aries:38; bos taurus:38; gallus gallus domesticus:36; capra aegagrus hircus:35,5,human gut metagenome,orig={'sheep'} -> infer={'human'},llm,llm_agent:112,llm_agent:112
PRJNA1025016,367,104,0.2834,0,homo sapiens:263; mus musculus:104,2,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:104,llm_agent:104
PRJNA1032744,120,100,0.8333,0,mus musculus:100; homo sapiens:20,2,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:100,llm_agent:100
PRJEB37572,86,86,1.0,0,mus musculus:86,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:86,llm_agent:86
PRJNA1067813,437,86,0.1968,39,mus musculus:312; homo sapiens:86,2,mouse gut metagenome,orig={'human'} -> infer={'mouse'},llm,llm_agent:86,llm_agent:86
PRJNA1145027,81,81,1.0,0,homo sapiens:81,1,mouse gut metagenome,orig={'human'} -> infer={'mouse'},llm,llm_agent:81,llm_agent:81
PRJEB42567,71,71,1.0,0,mus musculus:71,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:71,llm_agent:71
PRJNA828263,70,70,1.0,0,mus musculus:70,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:70,llm_agent:70
PRJEB48101,68,68,1.0,0,mus musculus:68,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:68,llm_agent:68
PRJNA1219628,110,64,0.5818,0,mus musculus:64; homo sapiens:46,2,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:64,llm_agent:64
PRJNA1171992,61,61,1.0,0,mus musculus:61,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:61,llm_agent:61
PRJNA578765,60,60,1.0,0,mus musculus:60,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:60,llm_agent:60
PRJNA741607,59,59,1.0,0,rat:59,1,mouse gut metagenome,orig={'rat'} -> infer={'mouse'},llm,llm_agent:59,llm_agent:59
PRJNA689595,58,58,1.0,0,rattus norvegicus:58,1,oral metagenome,orig={'rat'} -> infer={'human'},llm,llm_agent:58,llm_agent:58
PRJNA1092431,53,53,1.0,0,mus musculus:53,1,human gut metagenome:fecal,orig={'mouse'} -> infer={'human'},rule,literature:53,rule_host_human:53
PRJNA692042,216,52,0.2407,0,pan troglodytes verus:69; homo sapiens sapiens:52; pan troglodytes:36; pan paniscus:13; pan troglodytes schweinfurthii:12; gorilla beringei beringei:11,9,primate metagenome,orig={'human'} -> infer={'primate'},llm,llm_agent:52,llm_agent:52
PRJNA1182825,51,51,1.0,0,mus musculus:51,1,respiratory tract metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:51,llm_agent:51
PRJNA336462,48,48,1.0,0,zea mays subsp. mays:48,1,soil metagenome,orig={'plant'} -> infer={'soil'},llm,llm_agent:48,llm_agent:48
PRJNA435634,47,47,1.0,0,soil:47,1,rhizosphere metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:47,llm_agent:47
PRJNA636365,46,46,1.0,0,dairy cow:46,1,soil metagenome,orig={'bovine'} -> infer={'soil'},llm,llm_agent:46,llm_agent:46
PRJNA1173239,45,45,1.0,0,homo sapiens:45,1,mouse gut metagenome,orig={'human'} -> infer={'mouse'},llm,llm_agent:45,llm_agent:45
PRJNA691978,61,45,0.7377,16,sus scrofa:18; homo sapiens:15; bos taurus:12,3,freshwater metagenome,orig={'pig'} -> infer={'freshwater'},llm,llm_agent:45,llm_agent:45
PRJNA703330,44,44,1.0,0,mus musculus:44,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:44,llm_agent:44
PRJNA1256532,40,40,1.0,0,homo sapiens:40,1,mouse gut metagenome,orig={'human'} -> infer={'mouse'},llm,llm_agent:40,llm_agent:40
PRJNA357148,59,35,0.5932,0,mice:35; cow:24,2,bovine gut metagenome,orig={'mouse'} -> infer={'bovine'},llm,llm_agent:35,llm_agent:35
PRJNA776120,34,34,1.0,0,mus musculus:34,1,rat gut metagenome,orig={'mouse'} -> infer={'rat'},llm,llm_agent:34,llm_agent:34
PRJNA734321,33,33,1.0,0,homo sapiens:33,1,mouse gut metagenome,orig={'human'} -> infer={'mouse'},llm,llm_agent:33,llm_agent:33
PRJNA488231,32,32,1.0,0,mus musculus ncbi:10090:32,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:32,llm_agent:32
PRJNA1159740,31,31,1.0,0,ovis aries:17; cow:11; capra hircus:3,3,Homo sapiens:human,orig={'sheep'} -> infer={'human'},rule,literature:31,rule_host_human:31
PRJNA454826,138,31,0.2246,0,homo sapiens:107; mus musculus:31,2,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:31,llm_agent:31
PRJDB8678,30,30,1.0,0,homo sapiens:30,1,mouse gut metagenome,orig={'human'} -> infer={'mouse'},llm,llm_agent:30,llm_agent:30
PRJNA546804,32,30,0.9375,0,bos:16; canine:14; environment:2,3,tick metagenome;viral metagenome,orig={'bovine'} -> infer={'human'},llm,llm_agent;llm_agent:30,llm_agent;llm_agent:30
PRJNA657953,30,30,1.0,0,mus musculus:30,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:30,llm_agent:30
PRJNA779554,30,30,1.0,0,apple orchard soil:30,1,rhizosphere metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:30,llm_agent:30
PRJNA637878,112,27,0.2411,0,homo sapiens:85; mus musculus:27,2,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:27,llm_agent:27
PRJNA385134,26,26,1.0,0,mus musculus:26,1,viral metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:26,llm_agent:26
PRJNA904303,24,24,1.0,0,mus musculus:24,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:24,llm_agent:24
PRJNA783624,60,23,0.3833,0,mus musculus:37; homo sapiens:23,2,mouse gut metagenome,orig={'human'} -> infer={'mouse'},llm,llm_agent:23,llm_agent:23
PRJNA1175865,128,20,0.1562,0,alexandromys fortis:40; rattus norvegicus:30; rattus flavipectus:20; mus musculus:20; apodemus agrarius:18,5,rat gut metagenome,orig={'mouse'} -> infer={'rat'},llm,llm_agent:20,llm_agent:20
PRJNA930470,20,20,1.0,0,mus musculus:20,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:20,llm_agent:20
PRJNA1139859,19,19,1.0,0,mus musculus:19,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:19,llm_agent:19
PRJNA843121,41,19,0.4634,0,mus musculus:22; homo sapiens:19,2,mouse gut metagenome,orig={'human'} -> infer={'mouse'},llm,llm_agent:19,llm_agent:19
PRJNA901878,466,19,0.0408,4,manis javanica:56; rhinolophus pusillus:46; hipposideros armiger:23; rhinolophus sinicus:22; rhinolophus sp.:18; apodemus draco:15,106,wildlife metagenome,orig={'primate'} -> infer={'wildlife'},llm,llm_agent:19,llm_agent:19
PRJNA1135459,18,18,1.0,0,mus musculus:17; dna-seq of mus musculus: adult female spleen:1,2,rat gut metagenome,orig={'mouse'} -> infer={'rat'},llm,llm_agent:18,llm_agent:18
PRJNA575186,28,18,0.6429,0,mouse:18; homo sapiens:10,2,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:18,llm_agent:18
PRJNA596121,18,18,1.0,0,mouse:18,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:18,llm_agent:18
PRJNA718322,18,18,1.0,0,mus musculus:18,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:18,llm_agent:18
PRJNA1045597,16,16,1.0,0,mus musculus:16,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:16,llm_agent:16
PRJNA633324,16,16,1.0,0,homo sapiens:16,1,soil metagenome,orig={'human'} -> infer={'soil'},llm,llm_agent:16,llm_agent:16
PRJNA664310,43,16,0.3721,0,rhizosphere soil:27; bulk soil:16,2,rhizosphere metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:16,llm_agent:16
PRJNA1219709,15,15,1.0,0,soil of r108:5; soil of spx:5; soil:5,3,rhizosphere metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:15,llm_agent:15
PRJNA814825,15,15,1.0,0,equus przewalskii:8; equus hemionus hemionus:7,2,wildlife metagenome,orig={'horse'} -> infer={'wildlife'},llm,llm_agent:15,llm_agent:15
PRJNA858171,15,15,1.0,0,mouse:15,1,human gut metagenome,orig={'mouse'} -> infer={'human'},llm,llm_agent:15,llm_agent:15
PRJNA300541,570,14,0.0246,168,homo sapiens:382; bos taurus:8; cavia porcellus:4; canis lupus familiaris:4; turtle:2; gallus gallus:2,6,human feces metagenome,orig={'bovine'} -> infer={'human'},llm,llm_agent:14,llm_agent:14
PRJNA450295,160,14,0.0875,0,setaria italica:146; bulk soil:14,2,root metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:14,llm_agent:14
PRJNA646934,14,14,1.0,0,pig p6:1; pig c6:1; pig b6:1; pig pe:1; pig s6:1; pig pa5:1,14,feces metagenome,orig={'pig'} -> infer={'human'},llm,llm_agent:14,llm_agent:14
PRJNA681085,13,13,1.0,0,yak:13,1,bovine metagenome,orig={'yak'} -> infer={'bovine'},llm,llm_agent:13,llm_agent:13
PRJNA1004743,12,12,1.0,0,homo sapiens:12,1,rhizosphere metagenome,orig={'human'} -> infer={'plant'},llm,llm_agent:12,llm_agent:12
PRJNA1023210,12,12,1.0,0,ovis aries:9; bos taurus:3,2,skin metagenome,orig={'sheep'} -> infer={'human'},llm,llm_agent:12,llm_agent:12
PRJNA1146973,12,12,1.0,0,soil:12,1,plant metagenome,orig={'soil'} -> infer={'plant'},llm,llm_agent:12,llm_agent:12
